name,acronym,description.label_fr,link,contact_type.label_fr,contact,dataset_type.label_fr,environment.label_fr,nature.label_fr,subthematic.label_fr,measurement_data,exposure_factor.label_fr,exposure_factor_category.label_fr,thematic_category.label_fr,has_restrictions,has_pricing,has_compliance,license_name.label_fr,license_type.label_fr,is_opendata,files_format.label_fr,other_acess_point,data_domain.label_fr,related_references,automatic_update,broadcast_mode.label_fr,downloadable,has_documentation,has_filter,has_missing_data,has_search_engine,temporal_scale.label_fr,update_frequency.label_fr,volume,year,year_start,year_end,is_geospatial_data,geographical_information_level,projection_system.label_fr,related_geographical_references,administrative_territory_coverage,geospatial_geographical_coverage
Mesures de bruit dans l'agglomération de Lyon,,"LDEN (Day,Evening and Night) : niveau sonore équivalent pondéré A calculé sur les trois périodes horaires,jour (6h-18h), soirée (18h-22h),nuit (22h-6h).LNight : niveau sonore équivalent pondéré A sur la période nocturne (22h-6h)",,,"[""Acoucité""]",,,Agents Physiques,Mesures de bruit,,,Bruit,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,true,false,true,,Hebdomadaire,,2006 - en cours,2006,,true,"[{""label_fr"":""LYON"",""label_en"":""LYON""}]",,,,LYON
Mesures de bruit dans l'agglomération de Grenoble,,,,,"[""Acoucité""]",,,Agents Physiques,Exposition des population au bruit,,,Bruit,,,false,false,Non renseigné,,,,,Environnement,,,,,false,true,false,true,,Non renseigné,,2012 - en cours,2012,,true,"[{""label_fr"":""GRENOBLE"",""label_en"":""GRENOBLE""}]",,,,GRENOBLE
ORHANE,ORHANE,Localisation des zones de co-exposition Air / Bruit,,,"[""Acoucité""]",,,Agents Physiques,Qualité de l'air et acoustique,,,Buit / Air,,,false,false,Non renseigné,,,,,Environnement,,,,,false,true,false,true,,Y5,,2014 - en cours,2014,,true,"[{""label_fr"":""ARA"",""label_en"":""ARA""}]",,,,ARA
Compilation des Index Phytosanitaires Acta,CIPA,,,,"[""index-matphyto@univ-lyon1.fr""]",,,Pesticides,Index des substances phytosanitaires,,,Pesticides/biocides,,,false,false,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,Non renseigné,,depuis 1961,1961,,true,"[{""label_fr"":"""",""label_en"":""""}]",,,,
Ciblex,CIBLEX,"Compile les paramètres descriptifs de la population française (âge, sexe, budget espace-temps et consommation alimentaire...) en fonction de l'occupation des sols (zone continentale, surface en eaux…) et de l'usage type (résidentiel, professionnel, récréatif...)",,,"[""ADEME""]",,Sols,Indicateurs géographiques et socio-démographiques,Paramètres descriptifs de la population française,,,Indicateurs socio-démographiques,,,true,false,Non renseigné,,,,,Environnement,,false,,,true,true,false,true,,None,,2003 -,2003,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
SINOE,SINOE,"Localisation des sites de traitement des déchets, noms des opérateurs, description des déchets entrant dans les sites, analyse des coûts de la gestion des déchets",,,"[""ADEME""]",,Sols,,"Gestion des déchets, Développement durable",,,Déchets,,,false,true,Licence Ouverte Etalab,Attribution,,,,Environnement,,false,,,true,true,false,true,,Régulière,,2004 - en cours,2004,,true,"[{""label_fr"":""FRA"",""label_en"":""FRA""}]",,,,FRA
Banque nationale des ventes réalisées par les distributeurs de produits phytosanitaires,BNV-D,Données de vente de produits phytopharmaceutiques issues des déclarations des distributeurs (ou des agriculteurs ayant acheté à l'étranger),,,"[""bnvd- contact@ineris.fr""]",,,,Ventes de produits phytopharmaceutiques,,,Produits et substances phytopharmaceutiques,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,true,true,false,true,,Annuelle,,2008 - en cours,2008,,true,"[{""label_fr"":"""",""label_en"":""""}]",,,,
Connaissance et qualité des eaux de surface,OSUR,"Analyse physico-chimiques et conditions environnementales de la qualité des eaux de surface, liste faunistique ou floristique, opération de prélèvement biologique, réseau de mesure, station de mesure, zone de faciès, taxon indices biologiques",,,"[""stations_OSUR@eau-loire-bretagne.fr""]",,Eau,,Qualité des eaux de surface / Connaissance milieux,,,Polluants de l'eau,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,false,true,false,true,,Non renseigné,,1971 - en cours,1971,,true,"[{""label_fr"":""BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC"",""label_en"":""BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC""}]",,,,BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC
Réseau de mesure pour la mesure de la qualité des eaux de surface,OSUR,,,,"[""stations_OSUR@eau-loire-bretagne.fr""]",,Eau,,Réseaux de mesure de stations,,,Polluants de l'eau,,,false,false,Licence Ouverte Etalab,Attribution,,,,Environnement,,,,,false,true,false,true,,Non renseigné,,1971 - en cours,1971,,true,"[{""label_fr"":""BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC"",""label_en"":""BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC""}]",,,,BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC
Référentiel masse d’eau (+ Bassins Versants),,,,,"[""adl.dreal-pdl@developpement-durable.gouv.fr""]",,Eau,,Référentiel de masse d'eau,,,Polluants de l'eau,,,false,false,Non renseigné,,,,,Référentiel,,,,,false,true,false,true,,Y6,,2016,2016,,true,"[{""label_fr"":""BRE+PDL"",""label_en"":""BRE+PDL""}]",,,,BRE+PDL
mes idf horaire no2,,Mesures aux stations pour le polluant NO2. Les stations sont celles du minimum européen. Les données horaires des dernières 24h sont mises à jour quotidiennement à 14h (locale).,,,"[""informatique@airparif.fr""]",,Air,,Pollution atmosphérique ambiante,,,Polluants de l'air,,,false,false,ODbl,Attribution,,,,Environnement,,false,,,false,true,false,true,,Quotidienne,,09/2017- en cours,2017,,true,"[{""label_fr"":""IDF"",""label_en"":""IDF""}]",,,,IDF
