acronym,administrative_territory_coverage,automatic_update,broadcast_mode,contact,contact_type,data_domain,data_format,dataset_type,description,downloadable,environment,exposure_factor,exposure_factor_category,geographical_geospatial_coverage,geographical_information_level,has_compliance,has_documentation,has_filter,has_missing_data,has_pricing,has_restrictions,has_search_engine,is_geospatial_data,is_opendata,license_name,license_type,link,measurement_data,name,nature,organizations,other_access_points,projection_system,related_datasets,related_geographical_information,related_referential,state,subthematic,temporal_scale,theme_category,update_frequency,volume,year,year_end,year_start
,"[""Lyon""]",true,"[""API"",""Portail""]",sav.bd@ign.fr,"[""email""]",Référentiel,"[""pdf"",""html"",""esri shape"",""geojson""]",dataset,Localisation des adresses sur tout le territoire national.,true,"[""Sols""]","[""""]","[""indicateurs socio-démographiques""]","[""LYON""]",Latitude/Longitude,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://geoservices.ign.fr/documentation/diffusion/telechargement-donnees-libres.html#adresse-premium,true,Adresses,,"[{""name_en"":""IGN"",""name_fr"":""IGN"",""id"":""618828fd32132fc0e1c3b664""}]","[""""]","[""Lambert 93"",""UTM""]",[],true,,true,Adresses,N/A,Régions et villes,Irrégulière,,"[""""]",,
,"[""Grenoble""]",true,"[""Portail""]",barpi@developpement-durable.gouv.fr,"[""email""]",Environnement,"[""pdf"",""html""]",dataset,,true,"[""Sols"",""Air"",""Eau""]","[""""]","[""indicateurs socio-démographiques""]","[""GRENOBLE""]",Commune,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",https://www.data.gouv.fr/fr/datasets/analyse-recherche-et-information-sur-les-accidents/,true,"ARIA (Analyse, Recherche et Information sur les Accidents)",,"[{""name_en"":""BARPI / DGPR / MTES"",""name_fr"":""BARPI / DGPR / MTES"",""id"":""618828fd32132fc0e1c3b66b""}]","[""ARIA""]","[""""]",[],true,,true,Accidentologie,N/A,Population et société,Annuelle ?,"20,6Mo","[""Non renseigné""]",,
PLAINE,"[""Région Auvergne-Rhône-Alpes""]",true,"[""Process""]",INERIS,"[""email""]",Environnement,"[""html""]",dataset,"Construction des cartes environnementales et d’exposition des atlas régionaux réalisées pour quatre Eléments Traces Métalliques (ETM) (Cd, Cr, Ni, Pb) et HAP",false,"[""Sols""]","[""""]","[""""]","[""ARA""]",Région,false,true,true,false,true,true,true,true,,Non renseigné,"[""""]",https://www.ineris.fr/fr/dossiers-thematiques/tous-dossiers-thematiques/inegalites-environnementales/atlas,true,Atlas régionaux des inégalités environnementales,,"[{""name_en"":""INERIS"",""name_fr"":""INERIS"",""id"":""618828fd32132fc0e1c3b654""}]","[""""]","[""""]",[],true,,true,Indicateurs d'exposition spatialisés agrégés et combinés ,N/A,Environnement,Irrégulière,,"[""2009 - en cours""]",,2009
BSS,"[""""]",true,"[""Portail""]",bss@brgm.fr,"[""email""]",Environnement,"[""pdf""]",dataset,"La BSS recense les fiches signalétiques de l'ensemble des ouvrages de la BSS (plus de 700.000 ouvrages décrits, associés à plus de 2.000.000 de pages de documents techniques). La Banque de données du Sous-Sol (BSS) contient des informations brutes géologiques et techniques relatives à des ouvrages souterrains : localisation, objet, description géologique, équipement technique des forages. Les informations mises à la disposition du public dans les documents de la Banque du Sous-Sol (BSS), sont communiquées par des tiers dans le cadre des dispositions prévues par le Code Minier (art. 131 à 136).",true,"[""Sols"",""Eau""]","[""""]","[""polluants du sol""]","[""""]",coordonnées x/y,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",http://www.geocatalogue.fr/Detail.do?id=4163,true,Banque du sous-sol,,"[{""name_en"":""BRGM"",""name_fr"":""BRGM"",""id"":""618828fd32132fc0e1c3b65b""}]","[""Infoterre""]","[""""]",[],true,,true,Géologie,N/A,Environnement,Ponctuelle,,"[""en cours""]",,
ADES,"[""France métropolitaine et DROM""]",false,"[""Process""]",ades@brgm.fr,"[""email""]",Environnement,"[""excel xlsx""]",dataset,Données quantitatives (niveau des nappes) et qualitatives (concentration de nombreux paramètres) relatives aux eau􏰄 souterraines: 263 r􏰃seau􏰄 d􏰃clar􏰃s contenant 75954 points d􏰁eau comportant 4265 piézomètres et 72975 qualitomètres.,true,"[""Eau""]","[""""]","[""polluants de l'eau""]","[""FRA""]",Site de mesure,false,false,true,false,true,true,true,true,,,"[""""]",https://ades.eaufrance.fr/Recherche,true,Banque nationale d'Accès aux Données sur les Eaux Souterraines,,"[{""name_en"":""BRGM"",""name_fr"":""BRGM"",""id"":""618828fd32132fc0e1c3b65b""}]","[""""]","[""""]",[],true,,true,Eauxs souterraines ,D| W,Environnement,Régulière,,"[""Variable selon les données - en cours""]",,
BNV-D,"[""France métropolitaine et DROM""]",false,"[""Portail""]",bnvd- contact@ineris.fr,"[""email""]",Environnement,"[""excel xls"",""csv"",""html""]",dataset,Données de vente de produits phytopharmaceutiques issues des déclarations des distributeurs (ou des agriculteurs ayant acheté à l'étranger),true,"[""""]","[""""]","[""produits phytopharmaceutiques"",""substances phytopharmaceutiques""]","[""FRA""]",/,false,false,true,false,true,true,true,true,,Licence Ouverte Etalab,"[""Attribution""]",https://www.data.gouv.fr/fr/datasets/ventes-de-pesticides-par-departement/,true,Banque nationale des ventes réalisées par les distributeurs de produits phytosanitaires,,"[{""name_en"":""AFB"",""name_fr"":""AFB"",""id"":""618828fd32132fc0e1c3b66e""},{""name_en"":""INERIS"",""name_fr"":""INERIS"",""id"":""618828fd32132fc0e1c3b654""}]","[""https://bnvd.ineris.fr/""]","[""""]",[],false,,true,Ventes de produits phytopharmaceutiques,N/A,Environnement,Annuelle,,"[""2008 - en cours""]",,2008
DDIE,"[""""]",true,"[""Portail""]",GEODERIS,"[""email""]",Environnement,"[""csv""]",dataset,"Pour les mines dites ""métalliques"" : positionnement des dépôts, analyses chimique et NITON pour les dépôts les plus importants, positionnement des principaux enjeux. Regroupement des dépôts en secteurs. Classement de ces secteurs en fonction de l'impact sanitaire et environnemental potentiel des dépôts qu'ils contiennent. Les contours géographiques sont aussi disponibles pour certains dépôts. Pour les mines de charbon : uniquement positionnement et contourage des dépôts.",true,"[""Sols"",""Air""]","[""""]","[""polluants du sol"",""polluants de l'air""]","[""""]",,false,false,true,false,true,true,true,true,,Non renseigné,"[""""]",,true,Base DDIE,,"[{""name_en"":""MTES"",""name_fr"":""MTES"",""id"":""618828fd32132fc0e1c3b668""},{""name_en"":""BRGM"",""name_fr"":""BRGM"",""id"":""618828fd32132fc0e1c3b65b""},{""name_en"":""INERIS"",""name_fr"":""INERIS"",""id"":""618828fd32132fc0e1c3b654""}]","[""MIMAUSA""]","[""""]",[],false,,true,Inventaire des dépôts de résidus miniers ,N/A,Environnement,irrégulière,,"[""2009 - 2012""]",2012,2009
BDCF,"[""Régions Bretagne, Pays-de-la-Loire, Auvergne-Rhône-Alpes, Bourgogne-Franche-Comté, Centre-Val de Loire, Normandie, Nouvelle-Aquitaine, Occitanie""]",true,"[""Portail""]",infosol@orleans.inra.fr,"[""email""]",Environnement,"[""csv"",""plain text"",""xml"",""html""]",dataset,Teneur en carbone organique : Profils mesurés et géoréférencés contenant une information sur la teneur en carbone des sols,true,"[""Sols""]","[""""]","[""""]","[""BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC""]",Points de mesure,true,true,true,true,true,true,true,true,,Non renseigné,"[""""]",,true,Base de Données Carbone France,,"[{""name_en"":""INRAE"",""name_fr"":""INRAE"",""id"":""618828fd32132fc0e1c3b661""}]","[""/""]","[""""]",[],true,,true,Propriétés physico-chimiques des sols et occupation des terres ,N/A,Environnement,irrégulière,,"[""1965-1998""]",1998,1995
BDAT,"[""Régions Bretagne"",""Pays-de-la-Loire"",""Auvergne-Rhône-Alpes"",""Bourgogne-Franche-Comté"",""Centre-Val de Loire"",""Normandie"",""Nouvelle-Aquitaine"",""Occitanie""]",true,"[""Portail""]",infosol@inra.fr,"[""email""]",Environnement,"[""mapinfo tab file"",""kml"",""esri shape"",""png"",""pdf""]",dataset,"Avec la collaboration de laboratoires d’analyses de terre agréés par le ministère chargé de l’Agriculture, le Gis Sol met à disposition des résultats agrégés, issus du traitement des analyses de la BDAT (base de données des analyses de terre), soit plus de 2 millions d’échantillons d’horizons de surface de sols cultivés, prélevés en France entre 1990 et 2014. Ce sont ainsi plus de 26 millions de résultats d’analyses qui sont regroupées dans la base de données.",false,"[""Sols""]","[""""]","[""polluants du sol"",""composés organiques"",""métaux""]","[""BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC""]",Canton,true,true,true,false,true,true,true,true,,Licence CC-BY-NC-SA,"[""""]",http://www.gissol.fr/donnees/tableaux-de-donnees/donnees-de-la-bdat-3028,true,Base de données d'analyse des terres (BDAT),,"[{""name_en"":""ADEME"",""name_fr"":""ADEME"",""id"":""618828fd32132fc0e1c3b652""},{""name_en"":""INRA"",""name_fr"":""INRA"",""id"":""618828fd32132fc0e1c3b660""}]","[""INRAe / GIS Sol""]","[""""]",[],false,,true,Qualité agronomique des sols ,données agrégées par période de 5 ans,"Agriculture, pêche, sylviculture et alimentation",Irrégulière,822 Ko,"[""1990-2004 (2014 en théorie)""]",2004,1965
Kiwi,"[""Régions Bretagne"",""Pays-de-la-Loire""]",false,"[""Portail""]",kiwi@bruitparif.fr,"[""email""]",Santé,"[""esri shape"",""geojson"",""png"",""pdf""]",dataset,"Niveaux et temps d’écoute individuels de musique au casque ou avec des écouteurs, matériel utilisé, autres sources d’exposition (fréquentation de lieux de diffusion de musique amplifiée, pratique musicale, jeux vidéo)",true,"[""""]","[""""]","[""bruit""]","[""BRE+PDL""]",établissement scolaire,false,false,true,false,false,true,true,true,,Non renseigné,"[""""]",https://www.bruitparif.fr/pages/Actualites/2016-12-06%20Bruitparif%20re%C3%A7oit%20le%20d%C3%A9cibel%20d'or/Dossier%20de%20pr%C3%A9sentation%20Kiwi.pdf,true,Base de données des pratiques et niveaux d’exposition aux musiques amplifiées du jeune public,Agents Physiques,"[{""name_en"":""Bruitparif"",""name_fr"":""Bruitparif"",""id"":""618828fd32132fc0e1c3b65c""}]","[""""]","[""""]",[],true,,true,Niveaux d'exposition aux musiques amplifiées du jeune publique,N/A,Santé,Non renseigné,,"[""2015 - en cours""]",,2015
