integration_status,organization,data_domain,theme_category,thematic_field,nature,environment,subthematic,exposure_factor_category,dataset_name,acronym,description,filter,search_engine,integration_status,license_name,licence_type,restrictions,downloadable,broadcast_mode,geospatial_data,geographical_geospatial_coverage,administrative_territory_coverage,geographical_information_level,projection_system,related_geographical_information,related_referentials,year_start,year_end,year,temporal_scale,update_frequency,automatic_update,last_updated,format,data_format,metrics_registered_elements,Volume,measurement_data,documentation,missing_data,compliance,pricing,contact,last_inserted,last_modification,comment,related_datasets,other_access_points,link,
true,Acoucité,Environnement,Environnement,Agents Physiques,Agents Physiques,,Mesures de bruit,Bruit,Mesures de bruit dans l'agglomération de Lyon,,"LDEN (Day,Evening and Night) : niveau sonore équivalent pondéré A calculé sur les trois périodes horaires,jour (6h-18h), soirée (18h-22h),nuit (22h-6h).LNight : niveau sonore équivalent pondéré A sur la période nocturne (22h-6h)",true,false,true,Licence Ouverte Etalab,Attribution,,true,Portail/API,true,LYON,Lyon,Site,WGS84/RGF93/Lambert93,false,,2006,,2006 - en cours,Non renseigné,Hebdomadaire,,2020-01-06T00:03:00.000Z,PDF / HTML / Esri Shape / GEOJSON,"[""vector"",""carte""]",,,true,Notice d'utilisation de l'API,,,Gratuit,Acoucité,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,https://www.grandlyon.com/services/cartes-du-bruit.html,https://www.data.gouv.fr/fr/datasets/reseau-permanent-de-mesure-de-bruit-de-la-metropole-de-lyon/#_,
true,Acoucité,Environnement,Environnement,Agents Physiques,Agents Physiques,,Exposition des population au bruit,Bruit,Mesures de bruit dans l'agglomération de Grenoble,,,false,false,true,Non renseigné,,,,,true,GRENOBLE,Grenoble,Site,,false,,2012,,2012 - en cours,Non renseigné,Non renseigné,,,PDF / HTML,,,,true,,,,Gratuit,Acoucité,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,https://www.grenoblealpesmetropole.fr/469-lutte-contre-le-bruit.htm,https://www.acoucite.org/Partenaires/METRO/reseau-de-mesure/API_METRO.php,
true,Acoucité |  ATMO France,Environnement,Environnement,Agents Physiques,Agents Physiques,,Qualité de l'air et acoustique,Buit / Air,ORHANE,ORHANE,Localisation des zones de co-exposition Air / Bruit,false,false,false,Non renseigné,,Demande de mise à disposition des données via le formulaire de contact disponible sur la plateforme,false,,true,ARA,Région Auvergne-Rhône-Alpes,Maille 10mx10m,,false,,2014,,2014 - en cours,Non renseigné,Y5,,,HTML,,,,false,,,,Gratuit,Acoucité,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,,http://www.orhane.fr/,
true,ACTA | DGAL,Environnement,Environnement,Pesticides,Pesticides,,Index des substances phytosanitaires,Pesticides/biocides,Compilation des Index Phytosanitaires Acta,CIPA,,true,false,true,Non renseigné,,,true,,false,,,,,,,1961,,1961 – en cours,Non renseigné,Non renseigné,false,2021-01-01T00:01:00.000Z,PDF,,250+ substances,,,Peu de documentation,,,Gratuit,index-matphyto@univ-lyon1.fr,2021-01-29T00:03:00.000Z,2021-01-29T00:03:00.000Z,,,,http://matphyto.acta-informatique.fr/Accueil,
true,ADEME,Environnement,Population et société,Sols,Indicateurs géographiques et socio-démographiques,Sols,Paramètres descriptifs de la population française,Indicateurs socio-démographiques,Ciblex,CIBLEX,"Compile les paramètres descriptifs de la population française (âge, sexe, budget espace-temps et consommation alimentaire...) en fonction de l'occupation des sols (zone continentale, surface en eaux…) et de l'usage type (résidentiel, professionnel, récréatif...)",false,false,false,Non renseigné,,Données remises sur demande,false,,true,FRA,France métropolitaine et DROM,Département,,,,2003,,2003 -,Non renseigné,None,false,2003-01-01T00:01:00.000Z,Excel XLSX,,,,false,Aucune disponible en ligne,,,"Payant initialement, mais données remises gratuitement sur demande",ADEME,2021-01-08T00:03:00.000Z,2021-01-08T00:03:00.000Z,"Réserve quant à l'ancienneté des données ; Au-delà des données qui pour certaines ne sont plus pertinentes (alimentation), certaines fonctionnalités comme l'outil scénario, ne fonctionne plus avec les nouvelles versions d'excel, ce qui oblige à chercher les informations dans les données brutes (cf. INERIS)",,,https://www.irsn.fr/EN/Research/publications-documentation/Publications/DRPH/SAER/Pages/La-banque-de-donnees-CIBLEX-une-compilation-de-parametres-d-exposition-de-la-population-francaise-au-1522.aspx,
true,ADEME,Environnement,Environnement,Sols,,Sols,"Gestion des déchets, Développement durable",Déchets,SINOE,SINOE,"Localisation des sites de traitement des déchets, noms des opérateurs, description des déchets entrant dans les sites, analyse des coûts de la gestion des déchets",true,false,true,Licence Ouverte Etalab,Attribution,plus de données disponible avec inscription et/ou sur demande ,true,,true,FRA,France métropolitaine et DROM,Site/ Adresse / Coordonnées xy,,false,,2004,,2004 - en cours,Non renseigné,Régulière,true,2018-01-01T00:07:00.000Z,Excel XLS / CSV / HTML,,,,false,Brèves explications disponibles en ligne,,/,Gratuit,ADEME,2021-01-09T00:03:00.000Z,2021-01-09T00:03:00.000Z,"Tous les sites ne sont pas géoréférencés précisement, la plupart sont au centroïde commune ; base de données découpée en plusieurs jeux",,Portail de l'Ademe |  DataGouv,https://www.sinoe.org/index,
true,AFB | INERIS,Environnement,Environnement,Pesticides,,,Ventes de produits phytopharmaceutiques,Produits et substances phytopharmaceutiques,Banque nationale des ventes réalisées par les distributeurs de produits phytosanitaires,BNV-D,Données de vente de produits phytopharmaceutiques issues des déclarations des distributeurs (ou des agriculteurs ayant acheté à l'étranger),false,true,true,Licence Ouverte Etalab,Attribution,,true,,false,,,,,,,2008,,2008 - en cours,None,Annuelle,,2020-01-18T00:12:00.000Z,CSV,"[""texte"",""chiffre""]",,,false,Métadonnées,,,Gratuit,bnvd- contact@ineris.fr,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,,,https://bnvd.ineris.fr/,https://www.data.gouv.fr/fr/datasets/ventes-de-pesticides-par-departement/,
true,Agence de l'eau Loire-Bretagne,Environnement,Environnement,Eaux,,Eau,Qualité des eaux de surface / Connaissance milieux,Polluants de l'eau,Connaissance et qualité des eaux de surface,OSUR,"Analyse physico-chimiques et conditions environnementales de la qualité des eaux de surface, liste faunistique ou floristique, opération de prélèvement biologique, réseau de mesure, station de mesure, zone de faciès, taxon indices biologiques",true,false,true,Licence Ouverte Etalab,Attribution,Les exports avec mesures sont limités à une sélection de 500 stations maximum,true,,true,BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC,"Régions Bretagne, Pays-de-la-Loire, Auvergne-Rhône-Alpes, Bourgogne-Franche-Comté, Centre-Val de Loire, Normandie, Nouvelle-Aquitaine, Occitanie",Point de mesure,,,,1971,,1971 - en cours,Non renseigné,Non renseigné,,2021-01-01T00:04:00.000Z,CSV / Plain text / XML / HTML,"[""texte"",""chiffre""]",,,true,,,,Gratuit,stations_OSUR@eau-loire-bretagne.fr,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,,http://osur.eau-loire-bretagne.fr/exportosur/action/Geographie,
true,Agence de l'eau Loire-Bretagne,Environnement,Environnement,Eaux,,Eau,Réseaux de mesure de stations,Polluants de l'eau,Réseau de mesure pour la mesure de la qualité des eaux de surface,OSUR,,true,false,true,Licence Ouverte Etalab,Attribution,,true,,true,BRE+PDL+ARA+BFC+CVL+NOR+NAQ+OCC,"Régions Bretagne, Pays-de-la-Loire, Auvergne-Rhône-Alpes, Bourgogne-Franche-Comté, Centre-Val de Loire, Normandie, Nouvelle-Aquitaine, Occitanie",Point de mesure,,false,,1971,,1971 - en cours,Non renseigné,Non renseigné,,,MapInfo TAB file / KML / Esri Shape / PNG / PDF,,,,false,,,,Gratuit,stations_OSUR@eau-loire-bretagne.fr,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,,http://carmen.carmencarto.fr/179/OSUR.map,
true,Agence de l'eau Loire-Bretagne,Référentiel,Environnement,Eaux,,Eau,Référentiel de masse d'eau,Polluants de l'eau,Référentiel masse d’eau (+ Bassins Versants),,,true,true,true,Non renseigné,,,true,,true,BRE+PDL,Régions Bretagne et Pays-de-la-Loire,,,false,,2016,,2016,Non renseigné,Y6,,2021-01-21T00:01:00.000Z,Esri Shape / GEOJSON / PNG / PDF,"[""vector"",""carte""]",,,false,,,,Gratuit,adl.dreal-pdl@developpement-durable.gouv.fr,2021-01-21T00:04:00.000Z,2021-01-21T00:04:00.000Z,,,https://geo.data.gouv.fr/fr/datasets/b28a0cdbbf507bbd08387dc7f5f49214a10aa59f,https://www.data.gouv.fr/fr/datasets/bassins-versants-des-masses-deau-loire-bretagne/,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,mes idf horaire no2,,Mesures aux stations pour le polluant NO2. Les stations sont celles du minimum européen. Les données horaires des dernières 24h sont mises à jour quotidiennement à 14h (locale).,false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Département/ Commune/ Station de mesure,,false,,2017,,09/2017- en cours,H,Quotidienne,true,2021-01-15T00:04:00.000Z,XLSX / Esri Shape / KML,"[""texte"",""chiffres"",""vector""]",308158,,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,DataGouv,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-no2?geometry=1.395%2C48.650%2C3.373%2C48.967,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,mes idf horaire pm25,,"Mesures aux stations pour le polluant PM2,5. Les stations sont celles du minimum européen. Les données horaires des dernières 24h sont mises à jour quotidiennement à 14h (locale).",false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Département/ Commune/ Station de mesure,,false,,2017,,09/2017- en cours,H,Quotidienne,true,2021-01-15T00:04:00.000Z,XLSX / Esri Shape / KML,"[""texte"",""chiffres"",""vector""]",475694,,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,DataGouv,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-pm25/data?geometry=0.261%2C48.353%2C4.216%2C48.988,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,mes idf horaire pm10,,Mesures aux stations par polluant et par granulométrie temporelle.,false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Département/ Commune/ Station de mesure,,false,,2017,,09/2017- en cours,H,Quotidienne,true,2021-01-15T00:04:00.000Z,XLSX / Esri Shape / KML,"[""texte"",""chiffres"",""vector""]",515253,,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,DataGouv,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-pm10?geometry=0.483%2C48.328%2C4.438%2C48.964,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,mes idf horaire o3,,Mesures aux stations par polluant et par granulométrie temporelle.,false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Département/ Commune/ Station de mesure,,false,,,,09/2017- en cours,H,Quotidienne,true,2021-01-15T00:04:00.000Z,XLSX / Esri Shape / KML,"[""texte"",""chiffres"",""vector""]",791420,,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,DataGouv,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-o3?geometry=0.211%2C48.358%2C4.166%2C48.993,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,mes idf horaire nox,,Mesures aux stations par polluant et par granulométrie temporelle.,false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Département/ Commune/ Station de mesure,,false,,,,09/2017- en cours,H,Quotidienne,true,2021-01-15T00:04:00.000Z,XLSX / Esri Shape / KML,"[""texte"",""chiffres"",""vector""]",311560,,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,DataGouv,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-nox?geometry=1.395%2C48.650%2C3.373%2C48.967,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,Données HAP HAM et métaux de 2016 à 2019,HAM-HAP,Moyennes annuelles des concentrations de HAM-HAP et métaux par station,false,true,true,ODbl,Attribution,,true,,true,IDF,Région Île-de-France,Point de mesure,,false,,2016,2019,2016 - 2019,Y,Annuelle,,2020-01-28T00:12:00.000Z,CSV,"[""texte"",""chiffres""]",,32Ko,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/donn%C3%A9es-hap-ham-et-m%C3%A9taux-de-2016-%C3%A0-2019,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,Données HAM HAP METAUX de 2019 à 2020,HAM-HAP,Moyennes annuelles des concentrations de HAM-HAP et métaux par station,false,true,true,ODbl,Attribution,,true,,true,IDF,Région Île-de-France,Point de mesure,,false,,2019,2020,2019 - 2020,Y,Annuelle,,2020-01-15T00:09:00.000Z,CSV,"[""texte"",""chiffres""]",,8Ko,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/ham-hap-metaux-2019-2020,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,ind idf agglo,,Indice ATMO,false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,Zone,,false,,2021,2021,03/01/2021 - 16/02/2021,D,Quotidienne,,2021-01-17T00:02:00.000Z,XLSX / Esri Shape / KML,"[""texte"",""chiffres"",""vector""]",761,,false,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/ind-idf-agglo-1,
true,Airparif,Environnement,Environnement,Air,,Air,Pollution atmosphérique ambiante,Polluants de l'air,emi idf epci 2015,,Emissions pour tous les secteurs d’activité confondus.,false,true,true,ODbl,Attribution,,true,Portail/API,true,IDF,Région Île-de-France,EPCI/ Adresse,,false,,2015,,2015,Y,Irrégulière,,2019-01-19T00:08:00.000Z,XLSX / Esri Shape / KML,"[""texte"",""chiffres"",""vector""]",,,true,,,,Gratuit,informatique@airparif.fr,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,,,,https://data-airparif-asso.opendata.arcgis.com/datasets/emi-idf-epci-2015-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,
