label_en,label_fr,description_fr,rank,type,mandatory,base_uri,application,slug,collection,action
Agent Type DCAT AP,Agent type - DCAT-AP,Type d'organisme gestionnaire des données (selon le référentiel DCAT-AP),36,str,x,http://purl.org/adms/publishertype/,Organization,publisher_type,publisher_type,
Data Domain,Domaine de données,Catégorie des données (parmi :  Santé / Environnement / Référentiel),6,str,,,Dataset,data_domain,data_domain,
theme / category - DCAT-AP,theme / category - DCAT-AP,Theme / category du jeu de données (selon le référentiel DCAT AP,35,str,x,http://publications.europa.eu/resource/authority/data-theme/,Dataset,theme_category_dcat_ap,theme_category,
Thematic Field,Champ thématique,Champ thématique parmi : Sols / Air / Eaux / Pesticides / Agents Physiques,,str,x,,Dataset,thematic_field,thematic_field,
Nature,Nature,Agents physiques / Pesticides / Biodiversité / Indicateurs géographiques et socio-démographiques,7,list,x,,Dataset,nature,nature,
Environment,Milieu,Sols / Air / Eaux /Alimentation / NA,8,list,x,,Dataset,environment,environment,
Theme  ,Thématique,Thématique abordée dans le JDD,9,list,x,,Dataset,theme ,theme,
Exposure factor category,Facteur d'exposition - catégorie thématique,"Si pertinent, catégorie facteur d'exposition caractérisé dans le JDD ou dont la jeu peut contribuer à la caractérisation (non exhaustif)",,list,,,Dataset,exposure_factor_category,exposure_factor_category,
Exposure factor,Facteur d'exposition,"Si pertinent, facteur d'exposition caractérisé dans le JDD ou dont la jeu peut contribuer à la caractérisation (non exhaustif)",,list,,,Dataset,exposure_factor,,check a posteriori
Target,Cible,Expert / Grand Public,,str,,,Dataset,target,target,
Licence Name,licence,Licence sous laquelle le jeu de données est rendu disponible,17,str,x,,Dataset,licence_name,licence_name,
Licence Type,licence type - DCAT-AP,"Type de licence
e.g. Domaine public, Droit d’auteur requis (DCAT-AP)",37,str,,http://purl.org/adms/licencetype/,Dataset,licence_type,licence_type,
Brodcast Mode,Mode de diffusion,API / Portail / Process ,29,list,,,Dataset,broadcast_mode,broadcast_mode,
Spatial / Geographical coverage - DCAT-AP,Spatial / Geographical coverage - DCAT-AP,Région géographique couverte par le jeu de données (DCAT-AP),38,list,,,Dataset,geospatial_coverage,,check a posteriori
Administrative territory coverage,Territoire administratif couvert,Région géographique couverte par le jeu de données,21,list,,UE+INSEE+Geonames,Dataset,administrative_coverage,,check a posteriori
Geographical level of detail,Niveau de détail géographique,Pays / Région / Département / Intercommunalité / Ville / Quartier / Ilot IRIS INSEE/ Carreau INSEE / coordonnées xy / Type d'espace administratif ou autre,22,list,,,Dataset,geo_detail_level,,define list
Projection System,"Si géolocalisée , avec quel système de projection?",Lambert 93 / Lambert 2 étendu / UTM / WGS84 / etc.,23,list,,,Dataset,projection_system,projection_system,
Format- DCAT-AP,Format- DCAT-AP,Format de fichier diffusé,39,list,x,http://publications.europa.eu/resource/authority/file-type/,Dataset,data_format,,define most commons
Datafile format,Format de diffusion,"xls, json, etc.",,list,x,,Dataset,file_format,file_format,
Data Format,Format des données,"Texte, dates, etc.",15,list,,,Dataset,data_format,data_format,
Contact_type,Contact,"Type de contact : mail, formulaire ….",12,str,,,Dataset,contact_category,,define list
Organization Type,Type d’organisation,Nature de l’organisation :  plus détaillée que publisher_type qui correspond à la norme DCAT AP,5,,x,,Organization,organization_type,,
