agent_type_uri,image_url,acronym,name,agent_type,organization_type,url
http://purl.org/adms/publishertype/NonProfitOrganisation,https://www.acoucite.org/IMG/Logos/Logo-acoucite.png,,Acoucité,Organisation à but non lucratif,Association loi 1901,http://www.acoucité.org
http://purl.org/adms/publishertype/NonProfitOrganisation,https://atmo-france.org/wp-content/uploads/2019/09/logo_atmo_france_offre.jpg,,ATMO France,Organisation à but non lucratif,Association loi 1901,https://atmo-france.org
http://purl.org/adms/publishertype/NonProfitOrganisation,https://upload.wikimedia.org/wikipedia/fr/thumb/3/35/ACTA-logo.png/280px-ACTA-logo.png,Association de coordination technique agricole,ACTA,Organisation à but non lucratif,Association loi 1901,http://www.acta.asso.fr
http://purl.org/adms/publishertype/Company,https://fr.wikipedia.org/w/index.php?title=Fichier:Logo_ADEME.svg&lang=fr,ADEME,ADEME,Autorité nationale,Agence publique,https://data.ademe.fr/datasets
http://purl.org/adms/publishertype/NationalAuthority,https://agriculture.gouv.fr/sites/minagri/files/marianne-charte_0.png,Direction Générale de l’Alimentation,DGAL,Autorité nationale,Direction ministérielle,http://www.agriculture.gouv.fr
http://purl.org/adms/publishertype/Company,https://upload.wikimedia.org/wikipedia/fr/thumb/b/b2/Ineris-logo.jpg/260px-Ineris-logo.jpg,Institut national de l'environnement industriel et des risques,INERIS,Entreprise,EPIC,http://ineris.fr
http://purl.org/adms/publishertype/LocalAuthority,https://static.data.gouv.fr/avatars/2015-03-30/ba1032847c03494fbc20488c3d8bb474/LOGO_AELB_CAS1_Q-100.gif,,Agence de l'eau Loire-Bretagne,Autorité locale,Agence publique,https://agence.eau-loire-bretagne.fr 
http://purl.org/adms/publishertype/NonProfitOrganisation,https://static.data.gouv.fr/avatars/b2/fa6dc8ae814e4782aec3e6020c2dac.jpg,,Airparif,Organisation à but non lucratif,Association loi 1901,https://airparif.asso.fr
http://purl.org/adms/publishertype/Company,https://www.andra.fr/themes/contrib/site-static/dist/images/logo-andra.png,Agence nationale pour la gestion des déchets radioactifs,ANDRA,Entreprise,EPIC,https://www.andra.fr/
http://purl.org/adms/publishertype/NationalAuthority,https://www.anfr.fr/typo3conf/ext/e_magineurs/res/anfr/ressources/images/logo2.png,Agence Nationale des Fréquences,ANFR,Autorité nationale,EPA,http://www.anfr.org
http://purl.org/adms/publishertype/NationalAuthority,https://www.anses.fr/sites/all/themes/custom/anses/logo.svg,Agence Nationale Sécurité Sanitaire Alimentaire Nationale,ANSES,Autorité nationale,EPA,https://www.anses.fr
http://purl.org/adms/publishertype/NationalAuthority,https://www.asp-public.fr/sites/all/themes/bootstrap_asp/logo.png,Agence de Services et de Paiement ,ASP,Autorité nationale,EPA,http://www.asp-public.fr
http://purl.org/adms/publishertype/NationalAuthority,https://upload.wikimedia.org/wikipedia/fr/thumb/1/1e/Logo_BRGM.svg/1200px-Logo_BRGM.svg.png,Bureau de recherches géologiques et minières,BRGM,Autorité nationale,Agence publique,https://infoterre.brgm.fr 
http://purl.org/adms/publishertype/NonProfitOrganisation,https://pbs.twimg.com/profile_images/1096043777351995398/HEKiyF0n_400x400.png,,Bruitparif,Organisation à but non lucratif,Association loi 1901,https://www.bruitparif.fr 
http://purl.org/adms/publishertype/NationalAuthority,https://www.douane.gouv.fr/themes/custom/portail_externe/assets/images/DGDDI_2020_RVB.svg,,Direction générale des douanes et droits indirects,Autorité nationale,Direction ministérielle,http://www.douane.gouv.fr
http://purl.org/adms/publishertype/LocalAuthority,https://www.valabre.com/wp-content/uploads/logo-valabre-horizontal.svg,,Entente Valabre,Autorité locale,EPI,http://valabre.com
http://purl.org/adms/publishertype/Academia-ScientificOrganisation,https://www.gissol.fr/wp-content/themes/gissol_theme2/images/logo-GIS.png,Groupement d’Intérêt Scientifique Sols,GIS SOL,Université / Organisation scientifique,GIS,https://www.gissol.fr/
