"name"	"organization_type_fr"	"agent_type_fr"	"agent_type_en"	"agent_type_uri"	"image_url"	"accronym"
"Acoucité"	"Association loi 1901"	"Organisation à but non lucratif"	"Non Profit Organization"	"http://purl.org/adms/publishertype/NonProfitOrganisation"	"https://www.acoucite.org/IMG/Logos/Logo-acoucite.png"	
"ATMO France"	"Association loi 1901"	"Organisation à but non lucratif"	"Non Profit Organization"	"http://purl.org/adms/publishertype/NonProfitOrganisation"	"https://atmo-france.org/wp-content/uploads/2019/09/logo_atmo_france_offre.jpg"	
"ACTA "	"Association loi 1901"	"Organisation à but non lucratif"	"Non Profit Organization"	"http://purl.org/adms/publishertype/NonProfitOrganisation"	"https://upload.wikimedia.org/wikipedia/fr/thumb/3/35/ACTA-logo.png/280px-ACTA-logo.png"	"Association de coordination technique agricole"
"ADEME"	"Agence publique"	"Autorité nationale"	"National Authority"	"http://purl.org/adms/publishertype/Company"	"https://fr.wikipedia.org/w/index.php?title=Fichier:Logo_ADEME.svg&lang=fr"	"ADEME"
"DGAL"	"Direction ministérielle"	"Autorité nationale"	"National Authority"	"http://purl.org/adms/publishertype/NationalAuthority"	"https://agriculture.gouv.fr/sites/minagri/files/marianne-charte_0.png"	"Direction Générale de l’Alimentation"
"ADEME"	"Agence publique"	"Autorité nationale"	"National Authority"	"http://purl.org/adms/publishertype/Company"	"https://fr.wikipedia.org/w/index.php?title=Fichier:Logo_ADEME.svg&lang=fr"	"ADEME"
"INERIS"	"EPIC"	"Entreprise"	"Company"	"http://purl.org/adms/publishertype/Company"	"https://upload.wikimedia.org/wikipedia/fr/thumb/b/b2/Ineris-logo.jpg/260px-Ineris-logo.jpg"	"Institut national de l'environnement industriel et des risques"
"Agence de l'eau Loire-Bretagne"	"Agence publique"	"Autorité locale"	"LocalAuthority"	"http://purl.org/adms/publishertype/LocalAuthority"	"https://static.data.gouv.fr/avatars/2015-03-30/ba1032847c03494fbc20488c3d8bb474/LOGO_AELB_CAS1_Q-100.gif"	
"Agence de l'eau Loire-Bretagne"	"Agence publique"	"Autorité locale"	"LocalAuthority"	"http://purl.org/adms/publishertype/LocalAuthority"	"https://static.data.gouv.fr/avatars/2015-03-30/ba1032847c03494fbc20488c3d8bb474/LOGO_AELB_CAS1_Q-100.gif"	
"Agence de l'eau Loire-Bretagne"	"Agence publique"	"Autorité locale"	"LocalAuthority"	"http://purl.org/adms/publishertype/LocalAuthority"	"https://static.data.gouv.fr/avatars/2015-03-30/ba1032847c03494fbc20488c3d8bb474/LOGO_AELB_CAS1_Q-100.gif"	
"Airparif"	"Association loi 1901"	"Organisation à but non lucratif"	"Non Profit Organization"	"http://purl.org/adms/publishertype/NonProfitOrganisation"	"https://static.data.gouv.fr/avatars/b2/fa6dc8ae814e4782aec3e6020c2dac.jpg"	
