slug,model,field_id,label_fr,label_en,section,external_model,external_model_display_keys,is_controled,reference_table,vocab,translation,multiple,constraint,datatype,is_indexed,is_facet,ADMIN_scope_order,PAGE_LIST_scope_order,PAGE_ITEM,FILTER_page_scope_order,mandatory,editable,commentable,description_fr,description_en
id,dataset,datasets.id,ID,ID,COMMON,,,False,,,False,False,unique,id,False,False,1,-1,-1,-1,False,False,False,,
integration_status,dataset,datasets.integration_status,Publié,Published,COMMON,,,False,,,False,False,Bool,bool,False,True,3,-1,-1,-1,False,False,False,Date à laquelle le dataset a été proposé,
state,dataset,datasets.state,Status,Statut,COMMON,,,False,,,False,False,Bool,bool,False,True,2,-1,-1,-1,False,False,False,"Statut du jeu de données : proposed : proposé, pending_review : attente de revue, invalid : a passé les tests est invalide, valid : a passé les tests et est valide, published : publié ",
last_inserted,dataset,datasets.last_inserted,Date de dernière insertion,Last Inserted Date,COMMON,,,False,,,False,False,Date,date,False,True,4,-1,-1,-1,False,False,False,Date à laquelle le dataset a été ajouté dans la base,
last_modification,dataset,datasets.last_modification,Date de dernière modification,Last Modification Date,COMMON,,,False,,,False,False,Date,date,False,True,5,2,2,-1,False,False,False,Date à laquelle le dataset a été mis à jour dans la base,
name,dataset,datasets.name,Nom,Name,COMMON,,,False,,,False,False,unique,str,True,False,6,3,3,-1,True,True,False,Nom complet du jeu de données attribué par le producteur,
acronym,dataset,datasets.acronym,Sigle,Acronym,COMMON,,,False,,,False,False,unique,str,True,False,7,1,1,-1,False,True,False,"Sigle, abbréviation du jeu de données",
organizations,dataset,datasets.organizations,Organismes,Organizations,COMMON,organization,name,False,,,False,True,oneOf,dict,False,True,9,5,5,-1,True,True,False,Liste des organismes  producteurs du jeu de données,
description,dataset,datasets.description,Description,Description,COMMON,,,False,,,True,False,None,str,True,False,8,4,4,-1,True,True,False,Informations recueillies dans la base : Brève description du contenu et de l'objectif du JDD,
url,dataset,datasets.url,Lien,Link,COMMON,,,False,,,False,False,None,url,False,False,10,6,6,-1,True,True,False,Lien d’accès au jeux de données/portail,
contact_type,dataset,datasets.contact_type,Modalité de contact,Contact type,CONTACT,reference,name,True,contact_type,,True,True,oneOf,str,False,False,11,-1,7,-1,False,True,False,Modalités de contact,
contact,dataset,datasets.contact,Contact,Contact,CONTACT,,,False,,,False,True,None,str,False,False,12,-1,8,-1,False,True,Field,Contenu du contact,
contact_type_comments,dataset,datasets.contact_type_comments,Commentaires sur les modalités de contact,Contact Comments,CONTACT,comment,username|date|text,False,,,False,True,None,dict,False,False,13,-1,9,-1,False,True,Field,Commentaires sur les modalités de contact,
dataset_type,dataset,datasets.dataset_type,Type,Type,COMMON,reference,name,True,dataset_type,,True,False,oneOf,str,False,True,14,7,10,1,True,True,False,"Type de jeu de données : Jeu de données, portail, base de données",
environment,dataset,datasets.environment,Milieu,Environment,DATA,reference,name,True,environment,,True,True,oneOf,str,True,True,15,8,11,2,False,True,False,Milieu : Sols / Air / Eaux /Alimentation / NA,
nature,dataset,datasets.nature,Nature et Usage,Use and Nature,DATA,reference,name,True,nature,,True,False,oneOf,str,True,True,16,9,12,3,False,True,False,Nature et usage : Agents physiques / Pesticides / Biodiversité / Indicateurs géographiques et socio-démographiques,
subthematic,dataset,datasets.subthematic,Sous thématique,Subthématic,DATA,reference,name,True,subthematic,,True,True,oneOf,str,True,True,17,10,13,4,False,True,False,Theme / categorie  du jeu de données + Sols / Air / Eaux / Pesticides / Agents Physiques + Thématique abordée dans le JDD ,
exposure_factor,dataset,datasets.exposure_factor,Facteur d’exposition,Exposure factor,DATA,,,False,,,True,True,None,str,True,True,18,11,14,5,False,True,False,Facteur d’exposition : tags libres,
exposure_factor_category,dataset,datasets.exposure_factor_category,Catégorie de facteur d’exposition,Exposure factor category,DATA,reference,name,True,exposure_factor_category,,True,True,oneOf,str,True,True,19,12,15,6,True,True,False,"Catégorie de facteur d’exposition : Si pertinent, catégorie facteur d'exposition caractérisé dans le JDD ou dont la jeu peut contribuer à la caractérisation (non exhaustif)",
theme_category,dataset,datasets.theme_category,Catégorie thématique,Thematic Category,DATA,reference,name,True,theme_category,,True,False,oneOf,str,True,True,20,13,16,7,False,True,False,Grande catégorie thématique selon la norme DCAT AP,
is_opendata,dataset,datasets.is_opendata,Données Ouvertes,Open Data,LEGAL,,,False,,,False,False,Bool,bool,False,True,21,14,17,8,True,True,False,Données ouvertes (O/N),
license_name,dataset,datasets.license_name,Nom de licence,Licence Name,LEGAL,reference,name,True,license_name,DCAT,True,False,oneOf,str,False,True,22,-1,18,9,False,True,False,Nom de la licence sous laquelle le jeu de données est rendu disponible,
license_type,dataset,datasets.license_type,Type de licence,Licence Type,LEGAL,reference,name,True,license_type,DCAT,True,True,oneOf,str,False,True,23,-1,19,10,False,True,False,"Type de licence e.g. Domaine public, Droit d’auteur requis (DCAT-AP)",
has_restrictions,dataset,datasets.has_restrictions,A des restrictions,Has restrictions,LEGAL,,,False,,,False,False,Bool,bool,False,True,24,15,20,11,False,True,Field,Accessibilité d’utilisation des données,
restrictions_comments,dataset,datasets.restrictions_comments,Commentaires sur les restrictions,Restriction comments,LEGAL,comment,username|date|text,False,,,False,True,None,dict,False,False,25,-1,21,-1,False,True,Field,Commentaires sur les modalités d’accessibilité et de réutilisation,
has_pricing,dataset,datasets.has_pricing,Tarification,Pricing,LEGAL,,,False,,,False,False,Bool,bool,False,True,26,-1,22,12,False,True,Field,Le jeu de données est il payant ? Si oui précisez les modalités dans les commentaires,
has_compliance,dataset,datasets.has_compliance,Compliance,Compliance,LEGAL,,,False,,,False,False,Bool,bool,False,True,27,-1,23,13,False,True,Field,"Soumis à la réglementation RGPD, secret commercial, etc. Si oui précisez lesquels dans l’espace de commentaires",
pricing_comments,dataset,datasets.pricing_comments,Commentaires sur les tarifications,Tarification Comment,LEGAL,comment,username|date|text,False,,,False,True,None,dict,False,False,28,-1,24,-1,False,True,Field,Commentaiires sur la tarification,
compliance_comments,dataset,datasets.compliance_comments,Commentaires sur la compliance,Compliance Comment,LEGAL,comment,username|date|text,False,,,False,True,None,dict,False,False,29,-1,25,-1,False,True,Field,Commentaire sur la soumission juridique à certaines réglementation juridique,
data_format,dataset,datasets.data_format,Format des données (DCAT AP),Data Format (DCAT AP),TECH,reference,name,True,data_format,DCAT,False,True,oneOf,str,False,False,30,-1,26,-1,False,True,False,"Format des fichiers de données selon la norme DCAT-AP (.pdf .zip .xlsx, etc.)",
other_access_points,dataset,datasets.other_access_points,Autres points d’accès,Other Access point,TECH,,,False,,,False,True,None,str,False,False,31,-1,27,-1,False,True,False,Autre point d’accès pour consulter le jeu de données,
data_domain,dataset,datasets.data_domain,Domaine  de référence des données,Data domain,TECH,reference,name,True,data_domain,,True,False,oneOf,str,False,True,32,16,28,-1,True,True,False,Catégorie des données (ex : Santé / Environnement / Référentiel),
related_referential,dataset,datasets.related_referential,Référentiels associés,Related references,TECH,,,False,,,False,True,None,str,False,False,33,-1,29,-1,False,True,False,Référentiel(s)  associé(s)?,
related_datasets,dataset,datasets.related_datasets,jeux de données associés,Related Datasets,TECH,dataset,id,False,,,False,True,oneOf,dict,False,False,34,-1,30,-1,False,True,False,Jeux de données liés,
automatic_update,dataset,datasets.automatic_update,Mise à jour automatique,Automatic Update,TECH,,,False,,,False,False,Bool,bool,False,False,35,-1,31,-1,False,True,False,Y a t’il une mise à jour automatique ?,
broadcast_mode,dataset,datasets.broadcast_mode,Mode de diffusion,Broadcast Mode,TECH,reference,name,True,broadcast_mode,,True,True,oneOf,str,False,True,36,-1,32,-1,False,True,False,Mode de diffusion : API / Portail / Process ,
documentation_comments,dataset,datasets.documentation_comments,Commentaires sur la documentation,Documentation comments,TECH,comment,username|date|text,False,,,False,True,None,dict,False,False,37,-1,33,-1,False,True,Field,Commentaires ajoutant des précisions sur la documentation,
last_updated,dataset,datasets.last_updated,Dernière Mise à Jour,Last Update,COMMON,,,False,,,False,False,Date,date,False,True,38,17,34,-1,False,True,False,Date de dernière mise à jour chez le producteur,
downloadable,dataset,datasets.downloadable,Téléchargeable,Downloadable,TECH,,,False,,,False,False,Bool,bool,False,True,39,-1,35,14,False,True,False,"O/N, si non préciser le type d'accès (dans les commentaires techniques)",
